gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,1,0.36326631868776244,1,0,0.1939818131524526,0.2843560051332918,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
1,0,0,0,1.0161028225113204,1,0,-1.5150020769751595,-0.5141621429083256,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,1,0,0.4040686001767348,1,1,0.7159866200591357,0.6548272623515778,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
1,0,1,0,-1.1056158149152429,1,1,0.6993622631512796,-0.8216683678443611,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,0,1.424125637401044,1,0,0.04270016529096176,0.9179097607425808,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
1,0,1,1,-1.2688249408711325,1,0,-0.6588476962205679,-0.9798239314951991,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,0.8936959780444033,1,0,1.5023187018007311,1.7146092639630832,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,-1.2688249408711325,1,1,0.8489814753219849,-0.9597079454860405,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,1,1,0,-0.452779311091685,1,0,0.7375982840393485,-0.1757611346087201,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0,0,1,0,1.2609165114451546,1,1,0.5580552294345024,1.317856371220152,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
1,1,0,0,1.2201142299561822,1,1,1.542217158379586,2.129082854414193,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
1,1,1,0,-1.2280226593821602,1,1,1.0351742726899735,-0.9190102229647549,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,-0.779197563003464,1,1,0.8888799319008392,-0.49582044452952273,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,1,-0.9832089704483259,1,0,-1.473441184705519,-0.9270166958967354,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-0.6567907185365469,1,1,0.5381060011450747,-0.44560810459045425,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,0.6080800076215966,1,1,1.020212351472903,0.9985067763514919,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,1,1,-1.3096272223601049,0,1,-0.39285798569486957,-0.37970440842042696,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
0,0,0,0,-1.2280226593821602,0,0,-0.43109400658293867,-0.9566472993236768,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,0,1.1793119484672099,1,0,0.9902885090387622,1.5429025785354031,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
1,0,1,1,-1.2688249408711325,1,1,0.1374589996657416,-0.969200384308444,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,0,0,-0.41197702960271265,1,1,-1.473441184705519,-0.8146155745136969,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,0,0.4040686001767348,1,0,-1.4667914419423767,-0.6289807311877238,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False
1,0,1,0,-1.2688249408711325,1,1,0.34027615394158645,-0.9664945956721515,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1,0,0.36326631868776244,1,1,1.1781437420975363,0.8897207660153034,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,1,0,0,-1.2280226593821602,1,1,0.6461643210461396,-0.9269723387059766,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,0,0,0.2408594742208453,1,0,0.20728129867873724,0.20169638015409186,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
1,0,0,1,-0.20796562215785078,1,1,-1.2805986445743878,-0.6498064322490248,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,-1.2688249408711325,1,0,-0.07699520444560279,-0.9720614231123926,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
1,0,0,0,-1.2688249408711325,1,1,0.3569005108494426,-0.9662728097183569,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,-0.6975930000255193,1,0,-1.4967152843765177,-0.8758950335471096,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,0,-0.0447564962019613,1,0,-1.460141699179234,-0.7163422183873663,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
